기준일,시도,시군구,먹는치료제 처방기관,전화번호,주소
24년 09월 16일 06시,서울,강서구,유진의원,02-3665-0024,"서울특별시 강서구 양천로 677, (염창동)"
24년 09월 16일 06시,서울,송파구,방이내과의원,02-423-3541,"서울특별시 송파구 가락로 277, (방이동)"
24년 09월 16일 06시,서울,양천구,삼성탑가정의학과의원,02-753-8579,"서울특별시 양천구 목동동로8길 23, 메리트윈 3층 301호 (신정동)"
24년 09월 16일 06시,서울,중랑구,현엠앤엠소아청소년과의원,02-3422-1253,"서울특별시 중랑구 신내로 82, 403호 (신내동, 금강프라자)"
24년 09월 16일 06시,서울,관악구,강남수요양병원,02-888-8866,"서울특별시 관악구 신림로64길 11, 지1층,2~11층 (신림동, 성재빌딩)"
24년 09월 16일 06시,서울,구로구,서울오케이내과의원,02-6956-7588,"서울특별시 구로구 개봉로 66, 3층 (개봉동)"
24년 09월 16일 06시,서울,용산구,닥터유이비인후과의원,02-6271-2525,"서울특별시 용산구 이촌로 200, (이촌동)"
24년 09월 16일 06시,서울,중구,센트럴이비인후과의원,2079-0800,"서울특별시 중구 퇴계로 123, 하이헤리엇 8층 (충무로2가)"
24년 09월 16일 06시,서울,강동구,씨앤씨비뇨의학과의원,02-3426-7582,"서울특별시 강동구 동남로73길 26, (명일동, 고덕복합빌딩)"
24년 09월 16일 06시,서울,영등포구,예인소아청소년과의원,02-2676-7889,"서울특별시 영등포구 국회대로37길 25, 302호 (당산동4가)"
24년 09월 16일 06시,서울,은평구,지혜소아청소년과의원,02-386-6781,"서울특별시 은평구 연서로 35, 1층 (역촌동)"
24년 09월 16일 06시,서울,노원구,굿모닝소아청소년과의원,02-977-7530,"서울특별시 노원구 동일로204가길 12, 홈플러스 지하2층 (중계동)"
24년 09월 16일 06시,서울,노원구,김재면내과의원,02-932-9321,"서울특별시 노원구 동일로 1533, 201호 (상계동, 백산빌딩)"
24년 09월 16일 06시,서울,강서구,연세가족의원,02-3665-1977,"서울특별시 강서구 양천로59길 46, 106호 (가양동, 대일빌딩)"
24년 09월 16일 06시,서울,동대문구,강북으뜸내과의원,02-2248-1191,"서울특별시 동대문구 전농로 110, 1, 2층 (답십리동)"
24년 09월 16일 06시,서울,중랑구,더편한내과의원,02-2207-7575,"서울특별시 중랑구 상봉로 131, 2층 201-1호 (상봉동, 상봉 듀오트리스)"
24년 09월 16일 06시,서울,노원구,중계우리들의원,02-931-8270,"서울특별시 노원구 한글비석로 235, 하나프라자빌딩 401호,402호,403호 (중계동)"
24년 09월 16일 06시,서울,서대문구,오지현소아과의원,02-3216-3395,"서울특별시 서대문구 통일로 413, 6층 (홍제동)"
24년 09월 16일 06시,서울,은평구,연세제일내과의원,02-6010-1140,"서울특별시 은평구 연서로32길 3, 정원빌딩 5층 (불광동)"
24년 09월 16일 06시,서울,서초구,허기훈내과의원,588-7845,"서울특별시 서초구 방배로 76, 204,205호 (방배동)"
24년 09월 16일 06시,서울,서초구,서초서울이비인후과의원,02-2038-4562,"서울특별시 서초구 방배로 199, 3층 (방배동)"
24년 09월 16일 06시,서울,서대문구,연세봄이비인후과의원,02-391-4572,"서울특별시 서대문구 통일로 448, 4층 (홍제동)"
24년 09월 16일 06시,서울,성동구,권교선내과의원,02-2295-0630,"서울특별시 성동구 장터길 34, 301호 (금호동4가, 남지나빌딩)"
24년 09월 16일 06시,서울,중구,연세이비인후과의원,2232-2271,"서울특별시 중구 퇴계로 438-1, 3층 (신당동)"
24년 09월 16일 06시,서울,송파구,잠실서울이비인후과의원,02-415-2975,"서울특별시 송파구 올림픽로35길 112, 장미B상가 제2동 305호 (신천동)"
24년 09월 16일 06시,서울,성동구,최영인소아청소년과의원,02-2293-5500,"서울특별시 성동구 행당로 87, 103호 (행당동, 대림리빙프라자)"
24년 09월 16일 06시,서울,도봉구,노영래소아청소년과의원,02-906-7502,"서울특별시 도봉구 노해로70길 54, 206호 (창동, 주공아파트19단지종합상가)"
24년 09월 16일 06시,서울,도봉구,삼성온아이비인후과의원,02-6225-2575,"서울특별시 도봉구 마들로13길 61, 씨드큐브 창동 5층 501-3~5호 (창동)"
24년 09월 16일 06시,서울,성북구,학교법인 고려중앙학원 고려대학교의과대학부속병원(안암병원),1577-0083,"서울특별시 성북구 고려대로 73, 고려대병원 (안암동5가)"
24년 09월 16일 06시,서울,은평구,서울삼성내과의원,02-353-1011,"서울특별시 은평구 서오릉로 203, 2층 (구산동)"
24년 09월 16일 06시,서울,양천구,늘푸른가정의학과의원,02-2699-8275,"서울특별시 양천구 중앙로29길 61, 상가동 108-1층 109, 110호 (신월동, 신정뉴타운롯데캐슬)"
24년 09월 16일 06시,서울,은평구,나은성모내과의원,02-352-9952,"서울특별시 은평구 서오릉로 166, 유풍빌딩 2층 (갈현동)"
24년 09월 16일 06시,서울,강서구,삼성정형외과의원,02-2694-0055,"서울특별시 강서구 화곡로 111, (화곡동)"
24년 09월 16일 06시,서울,양천구,안가정의학과의원,02-2065-8275,"서울특별시 양천구 중앙로 235, 2층 (신정동)"
24년 09월 16일 06시,서울,강동구,한양성심의원,02-427-8875,"서울특별시 강동구 천호대로 1471, (상일동)"
24년 09월 16일 06시,서울,서대문구,의료법인사랑나눔의료재단에보스의원,02-363-2664,"서울특별시 서대문구 서소문로 21, 충정타워빌딩 2층 (충정로3가)"
24년 09월 16일 06시,서울,은평구,조은성모의원,02-385-0413,"서울특별시 은평구 통일로87길 12-1, (갈현동)"
24년 09월 16일 06시,서울,노원구,구소아청소년과의원,02-934-3724,"서울특별시 노원구 한글비석로 474, 2층 202호 (상계동, 보람상가)"
24년 09월 16일 06시,서울,동대문구,동호권가정의학과의원,02-963-6868,"서울특별시 동대문구 고산자로 534, 204호 (제기동)"
24년 09월 16일 06시,서울,강서구,마곡맘편한내과의원,02-2666-7538,"서울특별시 강서구 수명로 78, 새롬프라자 3층 302,303호 (내발산동)"
24년 09월 16일 06시,서울,영등포구,최소아청소년과의원,02-761-7707,"서울특별시 영등포구 여의대방로 417, 205호 (여의도동)"
24년 09월 16일 06시,서울,노원구,송내과의원,02-3392-2275,"서울특별시 노원구 동일로 1669, (상계동)"
24년 09월 16일 06시,서울,강동구,바른마음내과의원,02-476-7553,"서울특별시 강동구 양재대로 1349, 2층 (성내동)"
24년 09월 16일 06시,서울,중구,수내과의원,02-582-1122,"서울특별시 중구 장충단로 197, 1층, 지하1층 (쌍림동, 수정빌딩)"
24년 09월 16일 06시,서울,영등포구,신길연세이비인후과의원,02-845-8400,"서울특별시 영등포구 가마산로 496, JS496타워 204호 (신길동)"
24년 09월 16일 06시,서울,서대문구,서울하트내과의원,02-396-1175,"서울특별시 서대문구 통일로 448, 8층 (홍제동)"
24년 09월 16일 06시,서울,강서구,강서힘찬병원,02-1899-2228,"서울특별시 강서구 강서로56길 38, (등촌동, 강서힘찬병원)"
24년 09월 16일 06시,서울,강동구,서울늘열린의원,02-484-4799,"서울특별시 강동구 양재대로 1343, 2층 (성내동)"
24년 09월 16일 06시,서울,동작구,서울가정의원,02-825-6331,"서울특별시 동작구 만양로 26, 206호 (상도동, 건영아파트상가)"
24년 09월 16일 06시,서울,노원구,현대가정의학과의원,937-2636,"서울특별시 노원구 동일로237나길 1, 1층 (상계동)"
24년 09월 16일 06시,서울,강북구,김성학이비인후과의원,02-985-1582,"서울특별시 강북구 솔매로 80, 2층 (미아동)"
24년 09월 16일 06시,서울,동작구,동작성모이비인후과의원,02-825-1550,"서울특별시 동작구 상도로 345, 2층 (상도동)"
24년 09월 16일 06시,서울,강남구,도곡예원이비인후과의원,,"서울특별시 강남구 선릉로 225, 도곡렉슬상가 2층 213호일부, 214호 (도곡동)"
24년 09월 16일 06시,서울,동대문구,우리외과의원,02-2215-5275,"서울특별시 동대문구 서울시립대로 41, (전농동)"
24년 09월 16일 06시,서울,강서구,고려원이비인후과의원,02-2662-8675,"서울특별시 강서구 양천로 72, 4층 (방화동, 해성빌딩)"
24년 09월 16일 06시,서울,양천구,장명래가정의학과의원,02-2645-4224,"서울특별시 양천구 목동중앙본로7길 48, (목동)"
24년 09월 16일 06시,서울,중구,충정로수이비인후과의원,02-363-3788,"서울특별시 중구 중림로2길 6, 2~3층 (중림동)"
24년 09월 16일 06시,서울,양천구,소화의원,2066-6375,"서울특별시 양천구 신정로14길 6, (신정동, 학마을아파트)"
24년 09월 16일 06시,서울,동대문구,미주이비인후과의원,02-965-7707,"서울특별시 동대문구 약령시로 133, 1층 4층일부호 (청량리동)"
24년 09월 16일 06시,서울,서대문구,세상의기쁨마취통증의학과의원,02-313-1315,"서울특별시 서대문구 신촌로35길 10, B426호 (북아현동, e편한세상신촌 4단지)"
24년 09월 16일 06시,서울,송파구,명성의원,02-412-3567,"서울특별시 송파구 마천로 30, 201호 (방이동, 코오롱아파트 A상가 )"
24년 09월 16일 06시,서울,강동구,연세이비인후과의원,02-487-6611,"서울특별시 강동구 천호대로 1027, (천호동, 일동통상천호빌딩)"
24년 09월 16일 06시,서울,동대문구,이문연합의원,02-968-8575,"서울특별시 동대문구 휘경로3길 4, 2층 (이문동)"
24년 09월 16일 06시,서울,동작구,유광수내과의원,02-814-5955,"서울특별시 동작구 상도로 102, 3층 (상도동)"
24년 09월 16일 06시,서울,중랑구,성모내과의원,02-2208-5119,"서울특별시 중랑구 면목로 305, 4층 (면목동)"
24년 09월 16일 06시,서울,서대문구,나남여성의원,02-363-5675,"서울특별시 서대문구 통일로 173-8, 2층 (천연동)"
24년 09월 16일 06시,서울,동작구,유내과의원,02-825-2303,"서울특별시 동작구 상도로37길 74, (상도동)"
24년 09월 16일 06시,서울,광진구,누리이비인후과의원,02-452-0088,"서울특별시 광진구 천호대로 561, 4층 (중곡동)"
24년 09월 16일 06시,서울,양천구,목동플러스내과의원,02-2603-7577,"서울특별시 양천구 중앙로 291, 4층 (신월동)"
24년 09월 16일 06시,서울,동대문구,서울성심병원,02-966-1616,"서울특별시 동대문구 왕산로 259, 서울성심병원 (청량리동)"
24년 09월 16일 06시,서울,은평구,권소아청소년과의원,070-4197-0119,"서울특별시 은평구 응암로 308, 301호 (응암동)"
24년 09월 16일 06시,서울,동대문구,조은내과의원,02-2245-2227,"서울특별시 동대문구 사가정로 207, 204, 205호 (장안동)"
24년 09월 16일 06시,서울,강남구,참좋은이비인후과의원,02-572-7533,"서울특별시 강남구 도곡로 184, 신호빌딩 304호 (도곡동)"
24년 09월 16일 06시,서울,관악구,관악연세이비인후과의원,02-883-7728,"서울특별시 관악구 관악로 165, 홍빌딩 2층 (봉천동)"
24년 09월 16일 06시,서울,동대문구,김승일마취통증의학과의원,02-927-2471,"서울특별시 동대문구 천호대로 72, (용두동)"
24년 09월 16일 06시,서울,금천구,진내과의원,02-802-0075,"서울특별시 금천구 독산로 199, 2층 (독산동)"
24년 09월 16일 06시,서울,강북구,강북연세내과의원,02-988-0114,"서울특별시 강북구 도봉로 260, 4층 (미아동, 운산빌딩)"
24년 09월 16일 06시,서울,양천구,목동하나이비인후과의원,2062-0601,"서울특별시 양천구 목동서로 256, 4층 (목동, 동문빌딩)"
24년 09월 16일 06시,서울,강남구,윤앤정내과의원,02-562-6627,"서울특별시 강남구 삼성로 225, 203호 (대치동, 아주빌딩)"
24년 09월 16일 06시,서울,서초구,동심소아청소년과의원,02-594-3410,"서울특별시 서초구 서초대로 325, (서초동)"
24년 09월 16일 06시,서울,동작구,연세의원,02-817-9226,"서울특별시 동작구 상도로45길 4, 1층 (상도1동)"
24년 09월 16일 06시,서울,동대문구,조이비인후과의원,02-2245-1476,"서울특별시 동대문구 장한로 22, 2층 (장안동)"
24년 09월 16일 06시,서울,중랑구,우리내과의원,02-493-3573,"서울특별시 중랑구 망우로32길 49, (면목동)"
24년 09월 16일 06시,서울,강남구,성모베스트이비인후과의원,02-6207-1550,"서울특별시 강남구 삼성로 14, 3층 303,304호 (개포동, 개포자이 프레지던스)"
24년 09월 16일 06시,서울,성북구,봄빛서울의원,02-921-0180,"서울특별시 성북구 북악산로 844, 상가동 303호 (돈암동, 브라운스톤)"
24년 09월 16일 06시,서울,동대문구,호경정형외과의원,02-2243-4892,"서울특별시 동대문구 천호대로 291, (답십리동)"
24년 09월 16일 06시,서울,마포구,권이비인후과의원,02-362-0660,"서울특별시 마포구 신촌로 266-1, 5층 (아현동)"
24년 09월 16일 06시,서울,종로구,로이병원,02-1644-7541,"서울특별시 종로구 평창문화로 75, 글로리아타운 2층일부,3,5층 (평창동)"
24년 09월 16일 06시,서울,영등포구,크리스트의원,02-847-1002,"서울특별시 영등포구 대림로7길 13, 2층 (대림동)"
24년 09월 16일 06시,서울,용산구,서울효창의원,02-702-6292,"서울특별시 용산구 백범로 259, (효창동, 1층, 2층)"
24년 09월 16일 06시,서울,동작구,박이비인후과의원,02-815-8232,"서울특별시 동작구 노량진로 152, (노량진동)"
24년 09월 16일 06시,서울,광진구,김요한의원,02-457-2114,"서울특별시 광진구 광나루로 538, (구의동)"
24년 09월 16일 06시,서울,용산구,마음담은삼성내과의원,02-798-7550,"서울특별시 용산구 한강대로 290-1, (남영동)"
24년 09월 16일 06시,서울,광진구,서울가정의원,02-469-8050,"서울특별시 광진구 아차산로29길 51, 2층 (화양동)"
24년 09월 16일 06시,서울,용산구,용산성모내과의원,02-794-9992,"서울특별시 용산구 새창로 217, 5층 (한강로2가)"
24년 09월 16일 06시,서울,강서구,해오름소아청소년과의원,02-3663-7722,"서울특별시 강서구 양천로 583, 119호 (염창동, 우림블루나인비즈니스센터)"
24년 09월 16일 06시,서울,강북구,강북우리들병원,02-6222-1000,"서울특별시 강북구 한천로 1083, 수유동 (수유동, 광산타워)"
24년 09월 16일 06시,서울,용산구,김승욱내과의원,02-3273-7533,"서울특별시 용산구 만리재로 134, (서계동, 파리바게뜨제과)"
24년 09월 16일 06시,서울,강북구,북부성모의원,02-999-7171,"서울특별시 강북구 한천로 1152, (수유동)"
24년 09월 16일 06시,서울,강서구,365강서수요양병원,02-2663-0075,"서울특별시 강서구 양천로 35, 1~6층 (방화동, 강서성심병원)"
24년 09월 16일 06시,서울,관악구,강남효요양병원,02-885-8080,"서울특별시 관악구 남부순환로 1704, (봉천동)"
24년 09월 16일 06시,서울,용산구,트리니티내과의원,02-793-7127,"서울특별시 용산구 이촌로 224, (이촌동, 리버뷰맨션)"
24년 09월 16일 06시,서울,영등포구,연세노블의원,02-2678-7582,"서울특별시 영등포구 선유서로 117, 2층 (양평동3가, 월드프라자)"
24년 09월 16일 06시,서울,양천구,봄빛내과의원,02-2695-1517,"서울특별시 양천구 곰달래로 47, 3층 (신월동, 백석빌딩)"
24년 09월 16일 06시,서울,노원구,보람성모내과의원,02-952-3721,"서울특별시 노원구 노원로34길 88, 2층 (상계동)"
24년 09월 16일 06시,서울,관악구,성모가정의학과의원,02-889-3553,"서울특별시 관악구 호암로 602, 2층 (신림동, 도원빌딩)"
24년 09월 16일 06시,서울,강남구,압구정현대이비인후과의원,02-6032-0999,"서울특별시 강남구 압구정로 224, 우미빌딩 내제2층 201,202호 (신사동)"
24년 09월 16일 06시,서울,강남구,노블케어요양병원,02-515-0007,"서울특별시 강남구 언주로 858, 1관, 2관동 (신사동)"
24년 09월 16일 06시,서울,강동구,이종수내과의원,02-441-6905,"서울특별시 강동구 동남로81길 100, 2층 (고덕동)"
24년 09월 16일 06시,서울,서초구,의료법인 참예원의료재단 서초참요양병원,02-6081-2114,"서울특별시 서초구 양재대로 54, 지1,2층, 2~9층 (우면동, 서초참병원)"
24년 09월 16일 06시,서울,마포구,선내과의원,02-332-5800,"서울특별시 마포구 월드컵로 82, 2층 (서교동, 소단빌딩)"
24년 09월 16일 06시,서울,구로구,연세연합의원,02-2685-0075,"서울특별시 구로구 서해안로 2338, 2,3층 (오류동)"
24년 09월 16일 06시,서울,동대문구,위성호내과의원,02-2215-8463,"서울특별시 동대문구 전농로 148, 1층 (전농동)"
24년 09월 16일 06시,서울,성동구,닥터홍가정의학과의원,02-333-8842,"서울특별시 성동구 한림말1길 16, 2층 (옥수동)"
24년 09월 16일 06시,서울,영등포구,세란의원,02-2675-2430,"서울특별시 영등포구 선유로 42, 1,2층 (문래동3가)"
24년 09월 16일 06시,서울,용산구,아이파크몰의원,02-2012-2510,"서울특별시 용산구 한강대로23길 55, (한강로3가, 용산민자역사)"
24년 09월 16일 06시,서울,은평구,은평밝은내과의원,02-357-1215,"서울특별시 은평구 은평로 121, 5,10층 (응암동)"
24년 09월 16일 06시,서울,중랑구,홍종찬이비인후과의원,02-436-2315,"서울특별시 중랑구 용마산로 502, 3층 (망우동)"
24년 09월 16일 06시,서울,서대문구,상아피부과의원,02-722-5442,"서울특별시 서대문구 통일로 436, (홍제동)"
24년 09월 16일 06시,서울,중구,서울베스트의료의원,02-2135-1357,"서울특별시 중구 다산로46길 17, 2층 (흥인동)"
24년 09월 16일 06시,서울,노원구,퀸스메디소아청소년과의원,02-948-7599,"서울특별시 노원구 동일로 1059, (공릉동)"
24년 09월 16일 06시,서울,마포구,한빛가정의원,02-363-8000,"서울특별시 마포구 신촌로34길 37, 2층 (아현동)"
24년 09월 16일 06시,서울,동대문구,라임소아청소년과의원,02-6338-8275,"서울특별시 동대문구 이문로 136, F1-7, F1-8호 (이문동, 웰츠타워)"
24년 09월 16일 06시,서울,노원구,드림이비인후과의원,02-906-3313,"서울특별시 노원구 월계로45길 21, 203호 (월계동, 롯데캐슬상가)"
24년 09월 16일 06시,서울,영등포구,아산진내과의원,02-2633-3900,"서울특별시 영등포구 당산로 223, 4층 (당산동5가)"
24년 09월 16일 06시,서울,성북구,장대환내과의원,02-909-3980,"서울특별시 성북구 장월로 88-1, (장위동)"
24년 09월 16일 06시,서울,동대문구,허내과의원,02-959-0011,"서울특별시 동대문구 이문로 136, 2층 F11호, F12호 (이문동, 이문동웰츠타워)"
24년 09월 16일 06시,서울,성동구,조가정의학과의원,02-2233-7570,"서울특별시 성동구 장터1길 2, (금호동3가)"
24년 09월 16일 06시,서울,도봉구,성모소아청소년과의원,02-954-2010,"서울특별시 도봉구 도봉로180나길 34, 2층 (도봉동)"
24년 09월 16일 06시,서울,동작구,퀴앤코플러스이비인후과의원,02-813-7755,"서울특별시 동작구 서달로 150, 2층 (흑석동, 해가든상가)"
24년 09월 16일 06시,서울,동작구,연세가정의학과의원,02-823-0816,"서울특별시 동작구 양녕로 189, (상도동)"
24년 09월 16일 06시,서울,강남구,네이처요양병원,02-575-5114,"서울특별시 강남구 헌릉로569길 21-40, 지하3~4층, 지하2층일부, 지하1층일부, 지상1층일부, 지상2~8층 (세곡동)"
24년 09월 16일 06시,서울,강서구,현대성심의원,02-2608-4668,"서울특별시 강서구 강서로18길 5, (화곡동)"
24년 09월 16일 06시,서울,강남구,삼성드림이비인후과의원,02-565-7365,"서울특별시 강남구 테헤란로 514, 5층 (대치동, 삼흥제2빌딩)"
24년 09월 16일 06시,서울,송파구,코모키이비인후과의원,02-443-5599,"서울특별시 송파구 마천로 53, (오금동, 3층)"
24년 09월 16일 06시,서울,금천구,문이비인후과의원,02-856-4378,"서울특별시 금천구 시흥대로 473, (독산동)"
24년 09월 16일 06시,서울,구로구,서울삼성내과의원,02-854-3181,"서울특별시 구로구 구로동로 112-2, 서울삼성내과의원 2,3,4층 (구로동)"
24년 09월 16일 06시,서울,중구,한사랑의원,02-2277-4707,"서울특별시 중구 장충단로 201, 지혜빌딩 지하1, 지상3,4층 (장충동1가)"
24년 09월 16일 06시,서울,서대문구,홍제속편한내과의원,02-2088-7339,"서울특별시 서대문구 통일로 413, 연세24시사우나 201호 (홍제동)"
24년 09월 16일 06시,서울,금천구,미래이비인후과의원,02-805-0075,"서울특별시 금천구 시흥대로 399, 404호 (독산동)"
24년 09월 16일 06시,서울,동대문구,효림요양병원,02-962-1123,"서울특별시 동대문구 천호대로 259-1, (답십리동)"
24년 09월 16일 06시,서울,종로구,두리이비인후과의원,02-737-8275,"서울특별시 종로구 통일로 134, 디타워(돈의문) 지하1층 101호 (평동)"
24년 09월 16일 06시,서울,강북구,건강드림내과의원,02-945-3377,"서울특별시 강북구 도봉로 40, 5층 (미아동, 대경빌딩 )"
24년 09월 16일 06시,서울,금천구,김용호소아청소년과의원,02-805-7575,"서울특별시 금천구 독산로 139, 2층 (시흥동)"
24년 09월 16일 06시,서울,강남구,리붐내과의원,02-512-6630,"서울특별시 강남구 압구정로 130, 2층 (신사동)"
24년 09월 16일 06시,서울,영등포구,열린마음의원,02-836-7582,"서울특별시 영등포구 영신로19길 23, 2층 202호 (영등포동, 반석빌딩)"
24년 09월 16일 06시,서울,도봉구,퍼스트요양병원,02-902-3294,"서울특별시 도봉구 삼양로 616, 2-5층 (쌍문동)"
24년 09월 16일 06시,서울,금천구,성신고려요양병원,02-805-6797,"서울특별시 금천구 범안로 1191, (독산동)"
24년 09월 16일 06시,서울,강동구,고내과의원,02-477-2529,"서울특별시 강동구 구천면로 232, (천호동)"
24년 09월 16일 06시,서울,강서구,한사랑내과의원,02-2693-7955,"서울특별시 강서구 곰달래로 178, 르네상스빌딩 2층 (화곡동)"
24년 09월 16일 06시,서울,동대문구,강가정의학과의원,02-2244-2335,"서울특별시 동대문구 서울시립대로 31, 102동 201호 (전농동, 동아아파트)"
24년 09월 16일 06시,서울,마포구,이브산부인과의원,02-6368-2323,"서울특별시 마포구 서강로 144, 4층 5호 (노고산동)"
24년 09월 16일 06시,서울,동작구,새하늘내과의원,02-598-5551,"서울특별시 동작구 사당로 300, 225호 (사당동, 이수자이상가)"
24년 09월 16일 06시,서울,동대문구,소망이비인후과의원,02-2216-5052,"서울특별시 동대문구 사가정로 214, (장안동)"
24년 09월 16일 06시,서울,은평구,닥터정이비인후과의원,02-358-5155,"서울특별시 은평구 진관2로 57-7, 253-B104호 (진관동, 은평뉴타운두산위브아파트)"
24년 09월 16일 06시,서울,관악구,관악수내과의원,02-871-1936,"서울특별시 관악구 남부순환로 1810, 2층 (봉천동)"
24년 09월 16일 06시,서울,은평구,삼성서울키즈소아청소년과의원,02-305-5535,"서울특별시 은평구 백련산로 84, (응암동)"
24년 09월 16일 06시,서울,서초구,방배지에프내과의원,599-5009,"서울특별시 서초구 동작대로 118, 3층 (방배동, 예다인프라자)"
24년 09월 16일 06시,서울,광진구,정문호소아과의원,02-446-1161,"서울특별시 광진구 자양로 48, 2층 (자양동)"
24년 09월 16일 06시,서울,송파구,김철우내과의원,02-407-4202,"서울특별시 송파구 양산로 42, (거여동, 2층)"
24년 09월 16일 06시,서울,서초구,연세해맑은소아청소년과의원,02-3462-7582,"서울특별시 서초구 중앙로 582, 301호 (우면동, 서초타워)"
24년 09월 16일 06시,서울,강동구,상일에이치(H)내과의원,02-481-7575,"서울특별시 강동구 상일로 74, 2층 (상일동, 고덕리엔파크3단지아파트)"
24년 09월 16일 06시,서울,도봉구,유내과의원,02-954-1826,"서울특별시 도봉구 마들로 691, (도봉동)"
24년 09월 16일 06시,서울,금천구,금천수요양병원,02-838-5558,"서울특별시 금천구 남부순환로 1400, 2~9층 (독산동)"
24년 09월 16일 06시,서울,성동구,성수의원,02-468-7908,"서울특별시 성동구 성수일로 39, (성수동1가)"
24년 09월 16일 06시,서울,관악구,온누리내과의원,02-886-6701,"서울특별시 관악구 남부순환로 1603, 4층 401호 (신림동)"
24년 09월 16일 06시,서울,동대문구,사랑내과의원,02-962-9175,"서울특별시 동대문구 회기로 173, 2층 (회기동)"
24년 09월 16일 06시,서울,성북구,삼성바른내과의원,02-6314-5000,"서울특별시 성북구 정릉로 364, 3층 (돈암동)"
24년 09월 16일 06시,서울,광진구,명소아청소년과의원,02-455-1194,"서울특별시 광진구 뚝섬로 552, 203호 (자양동)"
24년 09월 16일 06시,서울,마포구,허비뇨기과의원,02-333-4991,"서울특별시 마포구 양화로 133, 서교타워 2층 201(일부)호 (서교동)"
24년 09월 16일 06시,서울,양천구,푸른가정의학과의원,02-2653-1264,"서울특별시 양천구 목동중앙남로4길 4, 1층 (목동)"
24년 09월 16일 06시,서울,강서구,삼성서울의원,02-2666-1888,"서울특별시 강서구 강서로45길 174, 3층 (내발산동, SM타워)"
24년 09월 16일 06시,서울,광진구,큰열매여성의원,454-3576,"서울특별시 광진구 용마산로 23, 1.2.3층 (중곡동)"
24년 09월 16일 06시,서울,금천구,전영수내과의원,02-859-3500,"서울특별시 금천구 남부순환로 1390, (독산동)"
24년 09월 16일 06시,서울,동대문구,조근경이비인후과의원,02-2217-3134,"서울특별시 동대문구 전농로 110, (답십리동)"
24년 09월 16일 06시,서울,광진구,연세박윤혜내과의원,02-465-8275,"서울특별시 광진구 능동로 313, 4,5층 (중곡동)"
24년 09월 16일 06시,서울,금천구,김승국소아과의원,02-806-4339,"서울특별시 금천구 금하로 707, 2층 (시흥동)"
24년 09월 16일 06시,서울,광진구,서울엠비(MB)내과의원,02-466-9100,"서울특별시 광진구 능동로 18, (자양동, 이튼타워 3차 113호,114호,116호,117호)"
24년 09월 16일 06시,서울,강북구,예일소아청소년과의원,02-999-5522,"서울특별시 강북구 한천로 1000, 2층 (번동)"
24년 09월 16일 06시,서울,송파구,송파본내과의원,02-423-6655,"서울특별시 송파구 송파대로 385, 성룡빌딩 지하1~지상1층 (석촌동)"
24년 09월 16일 06시,서울,성동구,우리가정의원,02-2292-5852,"서울특별시 성동구 마조로 64, (마장동)"
24년 09월 16일 06시,서울,노원구,상계연세하나로이비인후과의원,939-5081,"서울특별시 노원구 노해로 492, 10층 (상계동, 프린스빌딩)"
24년 09월 16일 06시,서울,용산구,김형석소아과의원,02-718-8982,"서울특별시 용산구 원효로 51, 315호 (산천동, 삼성테마트)"
24년 09월 16일 06시,서울,양천구,늘솜성모이비인후과의원,02-2606-5231,"서울특별시 양천구 신정로 312, 뉴프라자 5층 503, 504호 (신정동)"
